Country,date,coicop,value,diff
AT,Aug-20,Housing (rentals and repairs),0.5058129402948813,0.320247026133641
AT,Aug-20,Other,-0.3035575042123035,0.320247026133641
AT,Aug-20,Transport,0.0191351718979037,0.320247026133641
AT,Aug-20,"Water, electricity, gas and other fuels",-0.0160753273026682,0.320247026133641
AT,Sep-20,"Alcoholic beverages, tobacco and narcotics",0.0011419154381968,0.3480809138102732
AT,Sep-20,Clothing and footwear,0.017692783921649,0.3480809138102732
AT,Sep-20,Food and non-alcoholic beverages,0.0986607443396067,0.3480809138102732
AT,Sep-20,Housing (rentals and repairs),0.5614811576328388,0.3480809138102732
AT,Sep-20,Other,-0.306486960596856,0.3480809138102732
AT,Sep-20,Transport,0.0067032880647094,0.3480809138102732
AT,Sep-20,"Water, electricity, gas and other fuels",-0.0311120149898706,0.3480809138102732
AT,Oct-20,"Alcoholic beverages, tobacco and narcotics",0.0309111830245646,0.4290201046687634
AT,Oct-20,Clothing and footwear,0.0098290338272438,0.4290201046687634
AT,Oct-20,Food and non-alcoholic beverages,0.094401305118707,0.4290201046687634
AT,Oct-20,Housing (rentals and repairs),0.6181091718214515,0.4290201046687634
AT,Oct-20,Other,-0.2845420367405858,0.4290201046687634
AT,Oct-20,Transport,0.0113100948978977,0.4290201046687634
AT,Oct-20,"Water, electricity, gas and other fuels",-0.0509986472805154,0.4290201046687634
AT,Nov-20,"Alcoholic beverages, tobacco and narcotics",0.0374428480558956,0.4763782212332119
AT,Nov-20,Clothing and footwear,0.0077305538363433,0.4763782212332119
AT,Nov-20,Food and non-alcoholic beverages,0.0949683542508603,0.4763782212332119
AT,Nov-20,Housing (rentals and repairs),0.616024035786417,0.4763782212332119
AT,Nov-20,Other,-0.2724915260582325,0.4763782212332119
AT,Nov-20,Transport,0.036328167188999,0.4763782212332119
AT,Nov-20,"Water, electricity, gas and other fuels",-0.0436242118270711,0.4763782212332119
AT,Dec-20,"Alcoholic beverages, tobacco and narcotics",0.0422117408756609,0.4157897332259435
AT,Dec-20,Clothing and footwear,0.0115342773329068,0.4157897332259435
AT,Dec-20,Food and non-alcoholic beverages,0.0985024125056529,0.4157897332259435
AT,Dec-20,Housing (rentals and repairs),0.6139529204936859,0.4157897332259435
AT,Dec-20,Other,-0.306256127319801,0.4157897332259435
AT,Dec-20,Transport,0.0035626177912104,0.4157897332259435
AT,Dec-20,"Water, electricity, gas and other fuels",-0.0477181084533722,0.4157897332259435
AT,Jan-21,"Alcoholic beverages, tobacco and narcotics",0.0462410028299554,0.303998487323647
AT,Jan-21,Clothing and footwear,-0.0358710440396855,0.303998487323647
AT,Jan-21,Food and non-alcoholic beverages,-0.0397594457125376,0.303998487323647
AT,Jan-21,Housing (rentals and repairs),0.6128458335802047,0.303998487323647
AT,Jan-21,Other,-0.2934396884164155,0.303998487323647
AT,Jan-21,Transport,0.0308787929373232,0.303998487323647
AT,Jan-21,"Water, electricity, gas and other fuels",-0.0168969638551977,0.303998487323647
AT,Feb-21,"Alcoholic beverages, tobacco and narcotics",0.0488418752568439,0.4556452231271555
AT,Feb-21,Clothing and footwear,0.033645451721025,0.4556452231271555
AT,Feb-21,Food and non-alcoholic beverages,0.0543259698665531,0.4556452231271555
AT,Feb-21,Housing (rentals and repairs),0.5956475584884516,0.4556452231271555
AT,Feb-21,Other,-0.2601744233623255,0.4556452231271555
AT,Feb-21,Transport,-0.0489858614414779,0.4556452231271555
AT,Feb-21,"Water, electricity, gas and other fuels",0.0323446525980851,0.4556452231271555
AT,Mar-21,"Alcoholic beverages, tobacco and narcotics",0.0449371790129285,0.2074277687709527
AT,Mar-21,Clothing and footwear,0.0199919818552276,0.2074277687709527
AT,Mar-21,Food and non-alcoholic beverages,0.0372926114583184,0.2074277687709527
AT,Mar-21,Housing (rentals and repairs),0.5899528333300798,0.2074277687709527
AT,Mar-21,Other,-0.3348455005319821,0.2074277687709527
AT,Mar-21,Transport,-0.198527482023948,0.2074277687709527
AT,Mar-21,"Water, electricity, gas and other fuels",0.0486261456703287,0.2074277687709527
AT,Apr-21,"Alcoholic beverages, tobacco and narcotics",0.0563353219334455,0.0433739573091662
AT,Apr-21,Clothing and footwear,-0.0034794893004054,0.0433739573091662
AT,Apr-21,Food and non-alcoholic beverages,0.0006230339264703,0.0433739573091662
AT,Apr-21,Housing (rentals and repairs),0.5568966065205374,0.0433739573091662
AT,Apr-21,Other,-0.2426550884193253,0.0433739573091662
AT,Apr-21,Transport,-0.3684634849127271,0.0433739573091662
AT,Apr-21,"Water, electricity, gas and other fuels",0.0441170575611705,0.0433739573091662
AT,May-21,"Alcoholic beverages, tobacco and narcotics",0.0580408873791881,-0.1763830336585173
AT,May-21,Clothing and footwear,-0.0447217425890791,-0.1763830336585173
AT,May-21,Food and non-alcoholic beverages,0.0591215432712787,-0.1763830336585173
AT,May-21,Housing (rentals and repairs),0.4399548228561825,-0.1763830336585173
AT,May-21,Other,-0.3353233663283749,-0.1763830336585173
AT,May-21,Transport,-0.4240006727456724,-0.1763830336585173
AT,May-21,"Water, electricity, gas and other fuels",0.07054549449796,-0.1763830336585173
AT,Jun-21,"Alcoholic beverages, tobacco and narcotics",0.0582907192741432,-0.558354119679989
AT,Jun-21,Clothing and footwear,-0.0827932813112084,-0.558354119679989
AT,Jun-21,Food and non-alcoholic beverages,9.42922904259601e-05,-0.558354119679989
AT,Jun-21,Housing (rentals and repairs),0.2877956335715657,-0.558354119679989
AT,Jun-21,Other,-0.4562360800537423,-0.558354119679989
AT,Jun-21,Transport,-0.4404651814184822,-0.558354119679989
AT,Jun-21,"Water, electricity, gas and other fuels",0.0749597779673102,-0.558354119679989
AT,Jul-21,"Alcoholic beverages, tobacco and narcotics",0.0588865220834401,-0.5664744792682699
AT,Jul-21,Clothing and footwear,-0.0512854425532073,-0.5664744792682699
AT,Jul-21,Food and non-alcoholic beverages,0.0014311863519145,-0.5664744792682699
AT,Jul-21,Housing (rentals and repairs),0.1374276995556951,-0.5664744792682699
AT,Jul-21,Other,-0.3555652023427937,-0.5664744792682699
AT,Jul-21,Transport,-0.4558941369419751,-0.5664744792682699
AT,Jul-21,"Water, electricity, gas and other fuels",0.0985248945786557,-0.5664744792682699
AT,Aug-21,"Alcoholic beverages, tobacco and narcotics",0.0602430525973148,-0.7016562213289066
AT,Aug-21,Clothing and footwear,-0.0827923373752585,-0.7016562213289066
AT,Aug-21,Food and non-alcoholic beverages,0.0154305207180569,-0.7016562213289066
AT,Aug-21,Housing (rentals and repairs),0.045890859462364,-0.7016562213289066
AT,Aug-21,Other,-0.3478674565903743,-0.7016562213289066
AT,Aug-21,Transport,-0.5321737636464463,-0.7016562213289066
AT,Aug-21,"Water, electricity, gas and other fuels",0.1396129035054358,-0.7016562213289066
AT,Sep-21,"Alcoholic beverages, tobacco and narcotics",0.0579144446035307,-0.6694102313594636
AT,Sep-21,Clothing and footwear,-0.0034804620892239,-0.6694102313594636
AT,Sep-21,Food and non-alcoholic beverages,0.0194756656009507,-0.6694102313594636
AT,Sep-21,Housing (rentals and repairs),-0.0429307530950931,-0.6694102313594636
AT,Sep-21,Other,-0.3614889088834544,-0.6694102313594636
AT,Sep-21,Transport,-0.5265641676244852,-0.6694102313594636
AT,Sep-21,"Water, electricity, gas and other fuels",0.1876639501283119,-0.6694102313594636
AT,Oct-21,"Alcoholic beverages, tobacco and narcotics",0.0279928413123101,-0.7795266329886963
AT,Oct-21,Clothing and footwear,0.0151675520848795,-0.7795266329886963
AT,Oct-21,Food and non-alcoholic beverages,0.0349316791363196,-0.7795266329886963
AT,Oct-21,Housing (rentals and repairs),-0.1508924351469578,-0.7795266329886963
AT,Oct-21,Other,-0.2621456201768985,-0.7795266329886963
AT,Oct-21,Transport,-0.7142439392104827,-0.7795266329886963
AT,Oct-21,"Water, electricity, gas and other fuels",0.2696632890121352,-0.7795266329886963
AT,Nov-21,"Alcoholic beverages, tobacco and narcotics",0.0206276159181215,-1.206307904915201
AT,Nov-21,Clothing and footwear,0.0070059118623734,-1.206307904915201
AT,Nov-21,Food and non-alcoholic beverages,0.0530315781380945,-1.206307904915201
AT,Nov-21,Housing (rentals and repairs),-0.1857476246795783,-1.206307904915201
AT,Nov-21,Other,-0.5709129236062988,-1.206307904915201
AT,Nov-21,Transport,-0.8195883095217721,-1.206307904915201
AT,Nov-21,"Water, electricity, gas and other fuels",0.2892758469738592,-1.206307904915201
AT,Dec-21,"Alcoholic beverages, tobacco and narcotics",0.0161154633828438,-1.185407289277953
AT,Dec-21,Clothing and footwear,0.0111926874875054,-1.185407289277953
AT,Dec-21,Food and non-alcoholic beverages,0.0541183813994688,-1.185407289277953
AT,Dec-21,Housing (rentals and repairs),-0.2167679708573719,-1.185407289277953
AT,Dec-21,Other,-0.5519229451157542,-1.185407289277953
AT,Dec-21,Transport,-0.8285097793434676,-1.185407289277953
